name,role,org,city,state,domain,topics,linkedin,pronouns,yearsExperience,bio
Nivedan Rathi,AI Strategist & GenAI Advisor,Independent,Jaipur,Rajasthan,ai,GenAI; AI agents; AI strategy; business automation; entrepreneurship,nivedanrathi,he/him,12,AI strategy and GenAI advisor who helps businesses automate with AI agents. A TEDx speaker on practical AI.
Mahipal Jadeja,"Assistant Professor, MNIT Jaipur",MNIT Jaipur,Jaipur,Rajasthan,ai,AI; ML; GenAI; prompt engineering; cybersecurity; sustainability analytics,mahipal12,he/him,12,"Assistant Professor at MNIT Jaipur teaching AI, ML and GenAI. Works on prompt engineering, cybersecurity and sustainability analytics."
Prateek Jain,AI & Digital Transformation Strategist,Independent,Jaipur,Rajasthan,ai,AI strategy; digital transformation; LLM automation; AI agents; personalization,prateekjain87,he/him,14,"Enterprise technology leader focused on AI strategy, LLM automation and digital transformation for businesses."
Rishabh Jain,Startup Builder & AI Entrepreneur,Independent,Jaipur,Rajasthan,entrepreneurship,entrepreneurship; startups; AI powered business; creator economy,rishsamjain,he/him,9,"Builds AI powered businesses and startups, with a focus on the creator economy and business building."
Ravindra Shekhawat,Cloud & DevOps Leader,Independent,Jaipur,Rajasthan,ai,cloud; DevOps; GenAI; cybersecurity; software entrepreneurship,ravindra-shekhawat20,he/him,13,"Cloud and DevOps leader working across GenAI and cybersecurity, with a software entrepreneurship bent."
Tanishq Saini,Startup Community Builder,Independent,Jaipur,Rajasthan,entrepreneurship,Jaipur startup ecosystem; community building; youth entrepreneurship; innovation,tanishq-saini-founder,he/him,7,Drives the Jaipur startup ecosystem through community building and youth entrepreneurship.
Jai Soni,Early Stage VC & Investor,Independent,Jaipur,Rajasthan,finance,early stage startups; venture investing; entrepreneurship; innovation,jai-soni-,he/him,10,"Investor focused on early stage startups and venture, backing Jaipur and Indian founders."
Joravar Singh Shekhawat,Education & Leadership Coach,Independent,Jaipur,Rajasthan,education,entrepreneurship; education; leadership; career development; youth,joravarsinghsh,he/him,11,Education and leadership coach working on career development and coaching for young people.
Dr. Sheenu Jhawar,Healthcare Entrepreneur & Leader,Independent,Jaipur,Rajasthan,public-health,healthcare entrepreneurship; leadership; women entrepreneurship; startup ecosystem,dr-sheenu-jhawar-4b18a05,she/her,15,"Healthcare entrepreneur and leader active in Jaipur's startup ecosystem, championing women entrepreneurship."
Ram Dayal Sain,Grassroots Development Leader,Independent,Jaipur,Rajasthan,social-impact,grassroots development; gender equality; women empowerment; youth; rural development,ramdayalsain,he/him,20,"Grassroots development leader working on gender equality, women empowerment and rural development in Rajasthan."
Sagar Agrawal,"Founder, Qubit Capital",Qubit Capital,Jaipur,Rajasthan,finance,entrepreneurship; venture capital; startup fundraising; founder psychology; early stage investing,sagar-agrawal-qubit,he/him,9,"Founder of Qubit Capital, a Jaipur based venture fund connecting startups to global investors."
Sourav Lodha,D2C Jewellery Entrepreneur,Independent,Jaipur,Rajasthan,entrepreneurship,D2C; jewellery; e commerce; consumer behaviour; family business transformation,souravlodha,he/him,11,D2C entrepreneur transforming family jewellery businesses with e commerce and consumer insight.
Radhesh Sirohiya,Manufacturing & D2C Founder,Independent,Jaipur,Rajasthan,entrepreneurship,entrepreneurship; manufacturing; D2C; Jaipur jewellery; chemical engineering,radheshsirohiya,he/him,12,Chemical engineer turned founder building D2C brands across Jaipur jewellery and manufacturing.
Hitesh Nandwana,Enterprise Performance Leader,Independent,Jaipur,Rajasthan,technology,enterprise performance management; digital transformation; AI; analytics; business technology,hiteshnandwana,he/him,16,Enterprise leader in performance management and digital transformation using AI and analytics.
Khushboo Paliwal,HR & Talent Leader,Independent,Jaipur,Rajasthan,leadership,HR leadership; talent strategy; organizational development; hiring technology,khushboo-paliwal-a3448055,she/her,14,HR and talent strategy leader focused on organizational development and people management.
Sumit M Sharma,Motivational Speaker,Independent,Jaipur,Rajasthan,communication,motivational speaking; personality development; communication; leadership,sumitmsharmaindia,he/him,13,Motivational speaker and personality development coach known across Jaipur.
Ar. Samarth Jain,Architect & Designer,Independent,Jaipur,Rajasthan,design,architecture; interior design; built environment; design entrepreneurship,ar-samarth-jain-36555551,he/him,14,Architect shaping Jaipur's built environment through design and design entrepreneurship.
Ar. Prachi Soni,Architect & Spatial Designer,Independent,Jaipur,Rajasthan,design,architecture; spatial design; interiors; design entrepreneurship,ar-prachi-soni,she/her,11,Architect and spatial designer working across interiors and the built environment.
Ar. Yogita Kumawat,Architect & Digital Designer,Independent,Jaipur,Rajasthan,design,architecture; UX; 3D visualization; digital design; landscape and urban design,ar-yogita-kumawat-816027284,she/her,8,"Architect combining UX, 3D visualization and urban design across digital and built spaces."
Ar. Prachi Dahlan,Architect & Entrepreneur,Independent,Jaipur,Rajasthan,design,architecture; design; entrepreneurship; Jaipur built environment,ar-prachi-dahlan-0bb98a109,she/her,12,Architect and entrepreneur contributing to Jaipur's built environment.
Jitendra Suthar,Craft & Interiors Entrepreneur,Independent,Jaipur,Rajasthan,craft,craftsmanship; interiors; traditional modern design; entrepreneurship,jitendra-suthar7873,he/him,13,Craft entrepreneur blending traditional and modern design across interiors.
Dr. Jolly Jain,Design Led Manufacturer,Independent,Jaipur,Rajasthan,design,design led manufacturing; entrepreneurship; creative business; Jaipur design ecosystem,jollyjain,she/her,16,Design led manufacturer and entrepreneur in Jaipur's creative manufacturing ecosystem.
Veer Narayan Arya,Miniature Artist,Independent,Jaipur,Rajasthan,folk,miniature art; Rajasthan heritage; traditional arts; creative entrepreneurship,veernarayanarya,he/him,18,Miniature artist preserving Rajasthan heritage through traditional arts and creative entrepreneurship.
Sagar Sarkar,Music & Artist Manager,Independent,Jaipur,Rajasthan,music,music; entertainment; artist management; creative industries; event production,sagarsarkarind,he/him,10,Music and artist management professional working across entertainment and event production.
Anil Jangra,Educator & Mentor,Independent,Jaipur,Rajasthan,education,education; teaching; motivation; personal development; student development,anilkumarjangra,he/him,12,"Educator and mentor focused on student development, motivation and personal growth."
Manoj Mathur,Counsellor & Behaviour Expert,Independent,Jaipur,Rajasthan,psychology,counselling; human behaviour; family dynamics; personal development,manoj-mathur-37bb4a17,he/him,18,"Counsellor working on human behaviour, family dynamics and personal development."
Rahul Jangir,Sustainable Products Founder,Independent,Jaipur,Rajasthan,sustainability,entrepreneurship; sustainable products; environmental innovation; business,rahul-jangir-693b9b153,he/him,8,Founder building sustainable products and environmental innovation.
